epoch,train_loss,val_loss,val_auroc,val_auprc,lr,beta
1,33.832494,28.187943,0.940532,0.630568,1.00e-03,0.000100
2,28.149736,26.500572,0.944170,0.650067,1.00e-03,0.000200
3,27.303581,25.918390,0.943833,0.655104,1.00e-03,0.000300
4,26.961544,25.695185,0.942200,0.657105,1.00e-03,0.000400
5,26.779375,25.603657,0.941820,0.654823,1.00e-03,0.000500
6,26.638391,25.451223,0.944008,0.658341,1.00e-03,0.000600
7,26.498642,25.203705,0.942325,0.660492,1.00e-03,0.000700
8,26.375764,24.992256,0.943810,0.669272,1.00e-03,0.000800
9,26.182050,24.771442,0.945092,0.673593,1.00e-03,0.000900
10,26.097882,24.496059,0.943431,0.671424,1.00e-03,0.001000
11,25.981082,24.474529,0.944044,0.671980,1.00e-03,0.001100
12,25.834963,24.262800,0.946179,0.676029,1.00e-03,0.001200
13,25.771934,24.306913,0.945725,0.675909,1.00e-03,0.001300
14,25.695880,24.469463,0.946053,0.670900,1.00e-03,0.001400
15,25.650405,24.104235,0.944222,0.672570,1.00e-03,0.001500
16,25.607312,24.280571,0.946119,0.672263,1.00e-03,0.001600
17,25.565958,23.906239,0.943101,0.672502,1.00e-03,0.001700
18,25.545264,24.059113,0.945104,0.669964,1.00e-03,0.001800
19,25.490752,24.076664,0.946988,0.671332,1.00e-03,0.001900
20,25.428411,24.129726,0.947553,0.672954,1.00e-03,0.002000
21,25.358114,24.106905,0.946764,0.673163,5.00e-04,0.002100
22,25.334571,23.949059,0.947390,0.674423,5.00e-04,0.002200
23,25.316674,23.858690,0.946537,0.674282,5.00e-04,0.002300
24,25.288921,23.715178,0.945953,0.675529,5.00e-04,0.002400
25,25.259856,23.851433,0.945772,0.673540,5.00e-04,0.002500
26,25.242667,23.798054,0.945963,0.671499,5.00e-04,0.002600
27,25.271269,23.827957,0.946165,0.672906,5.00e-04,0.002700
28,25.199092,23.759403,0.947333,0.675110,5.00e-04,0.002800
29,25.158817,23.682238,0.947403,0.673311,2.50e-04,0.002900
30,25.181414,23.711380,0.946619,0.673158,2.50e-04,0.003000
31,25.177812,23.730621,0.946994,0.674569,2.50e-04,0.003100
32,25.142084,23.698351,0.945929,0.674423,2.50e-04,0.003200
